,Title,Theme,Show,Author,Length,Published,Views,Likes,Comments,Privacy Status,Region Restriction Count,Tag Count,
1,West Bengal News | Chilling Reports Of Abuse From The Sandeshkhali Of West Bengal | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 44s,2024-02-15T15:15:13Z,4450,158,74,22,,,
2,"Exposed: Duplicity Over MSP Law | After OBCs, Congress Deluding Kisan? | Farmers Protest | News18",Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,6m 30s,2024-02-14T15:53:33Z,2127,32,25,21,,,
3,PM Modi Inaugurates First Hindu Temple In Abu Dhabi | PM Modi In UAE | UAE Hindu Temple | News18,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 34s,2024-02-14T14:54:52Z,7912,125,39,16,,,
4,Farmers Protest 2024 | Escalation At Shambhu And Singhu Borders Amid Farmer Protests | News18,Farmers' issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,10m 58s,2024-02-13T15:59:12Z,1076,13,9,21,,,
5,Farmers Protest 2024 News | As Farmers Protest Intensifies In Delhi Debate Sparks On Consequences,Farmers' issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,34m 59s,2024-02-13T15:53:45Z,12116,128,141,21,,,
6,Farmers Protest | Farmers Protest Updates: Farmers' Face-Off With Cops On Punjab-Haryana Border,Farmers' issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,10m 7s,2024-02-13T15:03:43Z,657,7,3,19,,,
7,Release Of Coimbatore Blast Convicts: DMK's Action Is A Dangerous Catalyst In Appeasing Minorities,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,9m 40s,2024-02-12T15:58:07Z,2811,70,34,19,,,
8,"After Return Of Indians Jailed In Qatar, Centre Says PM Modi Was In Charge | English News | News18",Praising Ruling Party,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,41m 3s,2024-02-12T15:53:54Z,51424,711,177,18,,,
9,"Nitish Kumar & Now Jayant Chaudhary Expand NDA: Before Poll, NDA Wins Vote Of Confidence? | News18",Praising Ruling Party,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,14m 15s,2024-02-09T14:42:15Z,1190,13,3,18,,,
10,Bharat Ratna Politics: Who Denied Bharat Ratnas For So Long? | Bharat Ratna Award | English News,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,38m 17s,2024-02-09T14:37:29Z,23026,246,72,19,,,
11,Congress's Hindutva Iran Barb On UCC | Uttarakhand Uniform Civil Code | The Hard Facts | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 46s,2024-02-08T14:26:16Z,4365,85,26,20,,,
12,Delhi News | Arvind Kejriwal Summoned By Delhi Court After Probe Agency ED's Complaint | News18,Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,17m 23s,2024-02-07T14:45:59Z,13649,67,12,19,,,
13,BJP Draws Roadmap Will SC Block Course? | The Hard Facts | Yogi Adityanath | BJP News Today,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,35m 19s,2024-02-07T14:33:57Z,6529,78,32,21,,,
14,"Ayodhya Ke Baad, Kashi...': Adityanath Days After Court Allowed Hindu Prayers In Gyanvapi | News18",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,7m 45s,2024-02-07T13:56:20Z,205,4,0,21,,,
15,PM Modi News Updates | Modi Predicts 370+ Seats For BJP In 2024 Lok Sabha Elections | News18,Praising Ruling Party,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,51m 48s,2024-02-06T14:56:23Z,34700,428,135,23,,,
16,BJP News | Twenty Five Religious Leaders From The Minority Community Met PM Modi | The Hard Fact,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,50m 30s,2024-02-05T14:49:57Z,37860,396,91,23,,,
17,Union Budget 2024 | Decoding FM Nirmala Sitharaman's Interim Budget 2024 | English News | News18,Economy,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,16m 53s,2024-02-02T15:00:43Z,3156,14,3,23,,,
18,"Gyanvapi Verdict | 31 Years Later, Puja And Aarti Sparks Debate | Why Sully Prayers With Politics",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,38m 53s,2024-02-02T14:44:18Z,17030,165,77,22,,,
19,"Dream Budget,' Says PM Modi, Opposition Calls It 'Disappointing' | Budget 2024 | English News",Economy,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,53m 29s,2024-02-01T16:34:36Z,5748,43,3,18,,,
20,"Gyanvapi Verdict News | Litigant Sparks Reclamation Debate | Gyanvapi, Kashi, Ayodhya | News18",Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,18m 20s,2024-01-31T15:11:04Z,49540,739,233,23,,,
21,Gyanvapi Verdict News | Gyanvapi Verdict | News18 Access Full Order Copy On The Gyanvapi Verdict,Religious issues,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,32m 45s,2024-01-31T14:42:17Z,18129,338,94,23,,,
22,"Hemant Soren Leaves His Ranchi Residence, Calls Meeting With JMM Party Members | Jharkhand | News18",Other political themes,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 18s,2024-01-30T15:36:49Z,861,4,3,20,,,
23,Chandigarh: BJP Wins Mayoral Polls; Cong-AAP Cry Foul After 8 Votes of INDIA Bloc Declared 'Invalid',Criticizing Opposition,The_Hard_Facts_With_Rahul_Shivshankar,CNN-News18,15m 35s,2024-01-30T15:32:41Z,24954,140,103,17,,,
